PARTNUMBER,SYMBOL,FOOTPRINT,VALUE,VOLTAGE,TOLERANCE,PACKAGE,POLARIZED,DIELECTRIC,MANUFACTURER,MANUFACTURER_PART_NUMBER,DESCRIPTION,CREATED_ON,ComponentLink1URL,ComponentLink1Description,ComponentLink2URL,ComponentLink2Description,ComponentLink3URL,ComponentLink3Description,Supplier 1,Supplier Part Number 1,Supplier 2,Supplier Part Number 2,Supplier 3,Supplier Part Number 3
"C00034","CAP_NP","C_0402_1005M","10p","50V","±5%","0402",0,"C0G","Murata","GRM1555C1H100JA01J","CAP CER 10PF 50V C0G/NP0 0402","08/04/17 00:00:00","http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM1555C1H100JA01-01.pdf","Spec Sheet",,,,,"Digi-Key","490-11373-2-ND","Digi-Key","490-11373-1-ND",,
"C00001","CAP_NP","C_0402_1005M","100n","10V","±10%","0402",0,"X5R","Murata","GRM155R61A104KA01D","CAP CER .1UF 10V 10% X5R 0402","02/17/11 00:00:00","http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/GRM155R61A104KA01.pdf","Datasheet",,,,,"Digi-key","490-1318-2-ND","Digi-key","490-1318-1-ND",,
"C00002","CAP_NP","C_0603_1608M","1µ","10V","±10%","0603",0,"X5R","Murata","GRM188R61A105KA61D","CAP CER 1.0UF 10V 10% X5R 0603","02/18/11 00:00:00","http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/GRM188R61A105KA61.pdf","Datasheet",,,,,"Digi-key","490-1543-2-ND","Digi-key","490-1543-2-ND",,
"C00003","CAP_P","CRADIAL_6.3x11.2_2.5","100µ","25V","±20%","Radial",1,"Electrolytic","Panasonic","ECA-1EM101","CAP 100UF 25V ALUM LYTIC RADIA","02/18/11 00:00:00","http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABA0012+ECA1EM101+7+WW","Component Page",,,,,"Digi-key","P5152-ND",,,,
"C00004","CAP_NP","C_0805_2012M","10µ","6.3V","±20%","0805",0,"X5R","Murata","GRM21BR60J106ME19L","CAP CER 10UF 6.3V 20% X5R 0805","02/18/11 00:00:00","http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/GRM21BR60J106ME19.pdf","Datasheet",,,,,"Digi-key","490-1718-2-ND","Digi-key","490-1718-1-ND",,
"C00006","CAP_NP","C_0402_1005M","1n","16V","±10%","0402",0,"X7R","Yaego","CC0402KRX7R7BB102","CAP CERAMIC .001UF 16V X7R 0402","09/23/11 00:00:00","http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/MLCC%20ordering%20code.pdf","Datasheet",,,,,"Digi-key","311-1352-1-ND",,,,
"C00007","CAP_NP","C_0603_1608M","4u7","6.3V","±20%","0603",0,"X5R","Murata","GRM188R60J475ME19D","CAP CER 4.7UF 6.3V X5R 0603","09/23/11 00:00:00","http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/GRM188R60J475ME19.pdf","Datasheet",,,,,"Digi-key","490-5421-2-ND","Digi-key","490-5421-1-ND",,
"C00005","CAP_NP","C_0402_1005M","27p","50V","±5%","0402",0,"C0G","Yaego","CC0402JRNP09BN270","CAP CERAMIC 27PF 50V NP0 0402","08/21/11 00:00:00","http://www.yageo.com/documents/recent/UPY-GP_NP0_16V-to-50V_8.pdf","Datasheet",,,,,"Digi-key","311-1019-1-ND",,,,
"C00008","CAP_NP","C_0402_1005M","1µ","6.3V","±20%","0402",0,"X5R","Murata","GRM155R60J105ME19D","CAP CER 1.0UF 6.3V 20% X5R 0402","09/26/11 00:00:00","http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/GRM155R60J105ME19.pdf","Datasheet",,,,,"Digi-key","490-1319-2-ND","Digi-key","490-1319-1-ND",,
"C00009","CAP_NP","C_0402_1005M","220n","6.3V","±10%","0402",0,"X5R","Murata","GRM155R60J224KE01D","CAP CER .22UF 6.3V X5R 0402","09/28/11 00:00:00","http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/GRM155R60J224KE01.pdf","Datasheet",,,,,"Digi-key","490-5407-2-ND","Digi-key","490-5407-1-ND",,
"C00010","CAP_NP","C_0805_2012M","47µ","6.3V","±20%","0805",0,"X5R","Taiyo Yuden","JMK212BJ476MG-T","CAP CER 47UF 6.3V X5R 0805","09/28/11 00:00:00","http://www.yuden.co.jp/ut/product/pdf/mlcc01_e.pdf","Datasheet",,,,,"Digi-key","587-1779-2-ND","Digi-key","587-1779-1-ND",,
"C00011","CAP_NP","C_0402_1005M","470n","6.3V","±10%","0402",0,"X5R","Murata","GRM155R60J474KE19D","CAP CER .47UF 6.3V X5R 0402","09/28/11 00:00:00","http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/GRM155R60J474KE19.pdf","Datasheet",,,,,"Digi-key","490-3266-2-ND","Digi-key","490-3266-1-ND",,
"C00012","CAP_NP","C_0402_1005M","680p","50V","±10%","0402",0,"X7R","Yaego","CC0402KRX7R9BB681","CAP 680PF 50V CERAMIC X7R 0402","10/01/11 00:00:00","http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/MLCC%20ordering%20code.pdf","Order Guide",,,,,"Digi-key","311-1030-2-ND","Digi-key","311-1030-1-ND",,
"C00013","CAP_NP","C_0402_1005M","5p","50V","±0.25p","0402",0,"C0G","Murata","GRM1555C1H5R0CZ01D","CAP CER 5.0PF 50V C0G 0402","10/01/11 00:00:00","http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/GRM1555C1H5R0CZ01.pdf","Datasheet",,,,,"Digi-key","490-1274-2-ND","Digi-key","490-1274-1-ND",,
"C00016","CAP_NP","C_1206_3216M","4µ7","50V","±10%","1206",0,"X7R","Taiyo Yuden","UMK316AB7475KL-T","CAP CER 4.7UF 50V 10% X7R 1206","06/05/12 00:00:00","http://www.yuden.co.jp/or/product/category/capacitor/UMK316AB7475KL-T.pdf","Datasheet",,,,,"Digi-Key","587-2994-2-ND","Digi-Key","587-2994-1-ND",,
"C00014","CAP_NP","C_0402_1005M","15n","16V","±10%","0402",0,"X7R","Murata","GRM155R71C153KA01D","CAP CER 15000PF 16V 10% X7R 0402","10/01/11 00:00:00","http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/GRM155R71C153KA01.pdf","Datasheet",,,,,"Digi-key","490-1314-2-ND","Digi-key","490-1314-1-ND",,
"C00017","CAP_NP","C_0603_1608M","10n","50V","±10%","0603",0,"X7R","Kemet","C0603C103K5RACTU","CAP CER 10000PF 50V 10% X7R 0603","06/05/12 00:00:00","http://www.kemet.com/datasheets&C0603C103K5RACTU","Datasheet",,,,,"Digi-Key","399-1091-2-ND","Digi-Key","399-1091-1-ND",,
"C00015","CAP_NP","C_0402_1005M","15p","50V","±5%","0402",0,"C0G","Murata","GRM1555C1H150JZ01D","CAP CER 15PF 50V 5% C0G 0402","10/01/11 00:00:00","http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/GRM1555C1H150JZ01.pdf","Datasheet",,,,,"Digi-key","490-1280-2-ND","Digi-key","490-1280-1-ND",,
"C00041","CAP_NP","C_0805_2012M","2µ2","25V","±10%","0805",0,"X5R","Murata","GRM21BR61E225KA12L","CAP CER 2.2UF 25V X5R 0805","08/26/17 00:00:00","http://psearch.en.murata.com/capacitor/product/GRM21BR61E225KA12%23.pdf","Spec Sheet",,,,,"Digi-Key","490-3334-2-ND","Digi-Key","490-3334-1-ND",,
"C00018","CAP_NP","C_0603_1608M","220p","50V","±5%","0603",0,"C0G","Kemet","C0603C221J5GACTU","CAP CER 220PF 50V 5% NP0 0603","06/06/12 00:00:00","http://www.kemet.com/datasheets&C0603C221J5GACTU","Datasheet",,,,,"Digi-Key","399-1066-2-ND","Digi-Key","399-1066-1-ND",,
"C00043","CAP_NP","C_0402_1005M","DNP",,,"0402",0,,,,"Not Fitted","08/26/17 00:00:00",,,,,,,,,,,,
"C00030","CAP_NP","C_0805_2012M","4µ7","10V","±10%","0805",0,"X7R","Murata","GRM21BR71A475KA73K","CAP CER 4.7UF 10V X7R 0805","07/24/17 00:00:00","http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A475KA73-01.pdf","Spec Sheet",,,,,"Digi-Key","490-6479-1-ND","Digi-Key","490-6479-2-ND",,
"C00031","CAP_NP","C_1206_3216M","100µ","6.3V","±10%","1206",0,"X5R","Murata","GRM31CR60J107KE39L","CAP CER 100UF 6.3V X5R 1206","07/17/24 00:00:00","http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM31CR60J107KE39-01.pdf","Spec Sheet",,,,,"Digi-Key","490-13982-1-ND","Digi-Key","490-13982-2-ND",,
"C00032","CAP_NP","C_0402_1005M","68n","10V","±10%","0402",0,"X7R","Murata","GRM155R71A683KA01D","CAP CER 0.068UF 10V X7R 0402","07/24/17 00:00:00","http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71A683KA01-01.pdf","Spec Sheet",,,,,"Digi-Key","490-8258-1-ND","Digi-Key","490-8258-2-ND",,
"C00046","CAP_NP","C_0402_1005M","1n8","50V","±5%","0402",0,"X7R","Murata","GRM155R71H182JA01D","CAP CER 1800PF 50V X7R 0402","09/03/17 00:00:00","http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71H182JA01-01.pdf","Spec Sheet",,,,,"Digi-Key","490-12535-2-ND","Digi-Key","490-12535-1-ND",,
"C00021","CAP_NP","C_0603_1608M","1n","50V","±5%","0603",0,"COG","Yageo","CC0603JRNPO9BN102","CAP CER 1000PF 50V 5% NPO 0603","06/06/12 00:00:00","http://www.yageo.com/documents/recent/UPY-GP_NP0_16V-to-50V_8.pdf","Datasheet",,,,,"Digi-Key","311-1423-2-ND","Digi-Key","311-1423-1-ND",,
"C00042","CAP_NP","C_0402_1005M","2n2","25V","±10%","0402",0,"X5R","Murata","GRM155R61E222KA01D","CAP CER 2200PF 25V X5R 0402","08/26/17 00:00:00","http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R61E222KA01-01.pdf","Spec Sheet",,,,,"Digi-Key","490-8256-2-ND","Digi-Key","490-8256-1-ND",,
"C00027","CAP_NP","C_0402_1005M","4n7","50V","±10%","0402",0,"X7R","Wurth","885012205065","CAP CER 4700PF 50V X7R 0402","08/02/18 00:00:00","http://www.yageo.com/documents/recent/UPY-GP_NP0_16V-to-50V_10.pdf","Datasheet",,,,,"Digi-Key","732-7560-1-ND","Digi-Key","732-7560-2-ND",,
"C00047","CAP_NP","C_1206_3216M","22µ","10V","±10%","1206",0,"X5R","Samsung","CL31A226KPHNNNE","	CAP CER 22UF 10V X5R 1206","09/03/17 00:00:00","http://www.samsungsem.com/kr/front/downloadcms.do?path=/kr/support/product-search/mlcc/__icsFiles/afieldfile/2014/11/05&fileName=C_CL31A226KPHNNNE.pdf","Spec Sheet",,,,,"Digi-Key","1276-1287-2-ND","Digi-Key","1276-1287-1-ND",,
"C00022","CAP_NP","C_0603_1608M","100n","25V","±10%","0603",0,"X7R","Murata","GRM188R71E104KA01D","CAP CER 0.1UF 25V 10% X7R 0603","06/06/12 00:00:00","http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/GRM188R71E104KA01.pdf","Datasheet",,,,,"Digi-Key","490-1524-2-ND","Digi-Key","490-1524-1-ND",,
"C00019","CAP_NP","C_0603_1608M","150n","50V","±10%","0603",0,"X7R","TDK","C1608X7R1H154K","CAP CER 0.15UF 50V 10% X7R 0603","06/06/12 00:00:00","http://www.tdk.com/pdf/general_B11.pdf","Datasheet",,,,,"Digi-Key","445-7406-2-ND","Digi-Key","445-7406-1-ND",,
"C00020","CAP_NP","CBOX_5000_7200X2500X6500","150n","63V","±5%","BOX",0,"Metallized Polyester","EPCOS","B32529C154J","CAP FILM 0.15UF 63VDC RADIAL","06/06/12 00:00:00","http://www.epcos.com/inf/20/20/db/fc_2009/MKT_B32520_529.pdf","Datasheet",,,,,"Digi-Key","495-1105-ND",,,,
"C00025","CAP_NP","CBOX_5000_7200X2500X6500","15n","63V","±5%","BOX",0,"Metallized Polyester","EPCOS","B32529C153J","CAP FILM 0.015UF 63VDC RADIAL","06/06/12 00:00:00","http://www.epcos.com/inf/20/20/db/fc_2009/MKT_B32520_529.pdf","Datasheet",,,,,"Digi-Key","495-1098-ND",,,,
"C00026","CAP_NP","CBOX_5000_7200X3500X8000","470n","63V","±5%","BOX",0,"Metallized Polyester","EPCOS","B32529C474J","CAP FILM 0.47UF 63VDC RADIAL","06/06/12 00:00:00","http://www.epcos.com/inf/20/20/db/fc_2009/MKT_B32520_529.pdf","Datasheet",,,,,"Digi-Key","495-1110-ND",,,,
"C00029","CAP_NP","C_0402_1005M","470n","6.3V","±10%","0402",0,"X7R","Taiyo Yuden","JMK105B7474KVHF","CAP CER 0.47UF 6.3V X7R 0402","07/24/17 00:00:00","http://www.yuden.co.jp/productdata/catalog/en/mlcc_all_hq_e.pdf","Catalog","http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=JMK105B7474KVHF&fileName=JMK105B7474KVHF_SS&mode=specSheetDownload","Spec Sheet",,,"Digi-Key","587-3765-1-ND",,,,
"C00028","CAP_NP","C_0805_2012M","10µ","25V","±10%","0805",0,"X5R","Murata","GRM21BR61E106KA73L","CAP CER 10UF 25V 10% X5R 0805","07/09/15 00:00:00","http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx","Catalog",,,,,"Digi-Key","490-5523-1-ND","Digi-Key","490-5523-2-ND",,
"C00033","CAP_NP","C_0402_1005M","22p","50V","±5%","0402",0,"C0G","Murata","GRM1555C1H220JA01J","CAP CER 22PF 50V C0G/NP0 0402","08/04/17 00:00:00","http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM1555C1H220JA01-01.pdf","Spec Sheet",,,,,"Digi-Key","490-11382-2-ND","Digi-Key","490-11382-1-ND",,
"C00048","CAP_NP","C_0603_1608M","4µ7","10v","±10%","0603",0,"X5R","Samsung","CL10A475KP8NNNC","CAP CER 4.7UF 10V X5R 0603","09/04/17 00:00:00","https://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2016/08/18/S_CL10A475KP8NNNC.pdf","Spec Sheet","http://www.samsungsem.com/kr/front/downloadcms.do?path=/kr/support/product-search/mlcc/__icsFiles/afieldfile/2015/06/25&fileName=Data%20sheet_CL10A475KP8NNNC.pdf","Characteristics",,,"Digi-Key","1276-1044-2-ND","Digi-Key","1276-1044-1-ND",,
"C00035","CAP_NP","C_1210_3225M","22µ","25V","±10%","1210",0,"X5R","Samsung","CL32A226KAJNNNE","CAP CER 22UF 25V X5R 1210","08/06/17 00:00:00","http://www.samsungsem.com/kr/front/downloadcms.do?path=/kr/support/product-search/mlcc/__icsFiles/afieldfile/2014/11/05&fileName=C_CL32A226KAJNNNE.pdf","Spec Sheet",,,,,"Digi-Key","	1276-1101-2-ND","Digi-Key","	1276-1101-1-ND",,
"C00044","CAP_P","CRADIAL_6.3X9_2.5","330µ","6.3V","±20%","Radial",0,"Polymer","Kemet","A758EK337M0JAAE016","CAP ALUM POLY 330UF 20% 6.3V T/H","08/31/17 00:00:00","https://search.kemet.com/component-edge/download/specsheet/A758EK337M0JAAE016.pdf","Spec Sheet",,,,,"Digi-Key","399-14123-ND",,,,
"C00045","CAP_P","CRADIAL_6.3X9_2.5","180µ","10V","±20%","Radial",0,"Polymer","Kemet","A758EK187M1AAAE016","CAP ALUM POLY 180UF 20% 10V T/H","08/31/17 00:00:00","https://search.kemet.com/component-edge/download/specsheet/A758EK187M1AAAE016.pdf","Spec Sheet",,,,,"Digi-Key","399-14122-ND",,,,
"C00036","CAP_P","CRADIAL_10X13_5","560µ","25V","±20%","Radial",0,"Polymer","Kemet","A750MS567M1EAAE015","	CAP ALUM POLY 560UF 20% 25V T/H","08/06/17 00:00:00","http://www.kemet.com/docfinder?Partnumber=A750MS567M1EAAE015","Spec Sheet",,,,,"Digi-Key","	399-13693-ND",,,,
"C00037","CAP_P","CRADIAL_10X13_5","330µ","25V","±20%","Radial",0,"Polymer","Panasonic","25SEPF330M","CAP ALUM POLY 330UF 20% 25V T/H","08/06/17 00:00:00","http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+CI+4+AAB8009+25SEPF330M+8+WW","Web Link",,,,,"Digi-Key","P16323-ND",,,,
"C00038","CAP_NP","C_0402_1005M","82p","50V","±5%","0402",0,"C0G","Murata","GRM1555C1H820JA01D","CAP CER 82PF 50V C0G/NP0 0402","08/07/17 00:00:00","http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM1555C1H820JA01-01.pdf","Spec Sheet",,,,,"Digi-Key","490-5879-2-ND","Digi-Key","490-5879-1-ND",,
"C00039","CAP_NP","C_0603_1608M","1n2","50V","±5%","0603",0,"C0G","Murata","GRM1885C1H122JA01D","	CAP CER 1200PF 50V C0G/NP0 0603","08/07/17 00:00:00","http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM1885C1H122JA01-01.pdf","Spec Sheet",,,,,"Digi-Key","	490-1453-2-ND","Digi-Key","	490-1453-1-ND",,
"C00040","CAP_NP","C_0402_1005M","820p","50V","±5%","0402",0,"C0G","Murata","GRM1555C1H821JA01D","CAP CER 820PF 50V C0G/NP0 0402","08/07/17 00:00:00","http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM1555C1H821JA01-01.pdf","Spec Sheet",,,,,"Digi-Key","490-3242-2-ND","Digi-Key","490-3242-1-ND",,
